nG,nO,N,t
1.0,1.0,10.0,0.0
1.0215917997800008,1.0472632265949688,9.999999997928116,0.04008016032064128
1.0436498053777412,1.096760265778105,9.99999999579787,0.08016032064128256
1.0661840830158942,1.148596694739934,9.999999993606517,0.12024048096192384
1.0892049162649973,1.2028830805896598,9.999999991351192,0.16032064128256512
1.1127228107363836,1.259735216194823,9.999999989028904,0.2004008016032064
1.1367484988764434,1.3192743671675011,9.999999986636526,0.24048096192384769
1.1612929448644,1.381627530523873,9.999999984170795,0.280561122244489
1.1863673496158398,1.44692770556887,9.999999981628305,0.32064128256513025
1.2119831558942753,1.51531417758371,9.99999997900549,0.3607214428857715
1.2381520535330781,1.586932814921418,9.999999976298636,0.4008016032064128
1.2648859847701612,1.6619363801440408,9.999999973503854,0.4408817635270541
1.2921971496978477,1.7404848558652108,9.999999970617086,0.48096192384769537
1.3200980118304115,1.82274578599308,9.99999996763409,0.5210420841683366
1.348601303791831,1.9088946331014958,9.99999996455043,0.561122244488978
1.3777200331263522,1.9991151526916915,9.999999961361477,0.6012024048096192
1.4074674882345126,2.093599785142795,9.99999995806239,0.6412825651302605
1.437857244437333,2.1925500661871773,9.999999954648107,0.6813627254509018
1.4689031701714477,2.296177056786196,9.999999951113343,0.721442885771543
1.500619433317998,2.404701793323251,9.99999994745257,0.7615230460921844
1.5330205076681787,2.5183557590744154,9.99999994366001,0.8016032064128256
1.5661211795283854,2.6373813779622948,9.999999939729621,0.8416833667334669
1.599936554467981,2.762032531646278,9.99999993565509,0.8817635270541082
1.6344820642127582,2.8925751010521514,9.999999931429814,0.9218436873747494
1.6697734736872427,3.0292875334961447,9.999999927046892,0.9619238476953907
1.7058268882090541,3.172461436613087,9.999999922499105,1.002004008016032
1.742658760838606,3.3224022003555325,9.999999917778908,1.0420841683366733
1.7802858998874975,3.4794296483905596,9.99999991287841,1.0821643286573146
1.818725476589027,3.6438787202836957,9.999999907789359,1.122244488977956
1.857995032934324,3.8161001859250496,9.999999902503125,1.1623246492985972
1.8981124896776778,3.9964613937215274,9.999999897010683,1.2024048096192383
1.9390961545147172,4.185347054151033,9.999999891302595,1.2424849699398797
1.9809647304371687,4.383160060349959,9.999999885368988,1.282565130260521
2.0237373242680112,4.590322347484297,9.999999879199537,1.3226452905811623
2.067433455380921,4.807275792737397,9.999999872783443,1.3627254509018036
2.112073064607981,5.034483157834052,9.999999866109409,1.4028056112224447
2.1576765233397293,5.272429076111318,9.99999985916562,1.442885771543086
2.204264642821689,5.52162108624147,9.99999985193971,1.4829659318637274
2.25185868365163,5.782590714812058,9.999999844418754,1.5230460921843687
2.300480365481892,6.055894610072184,9.999999836589222,1.56312625250501
2.3501518769312,6.342115729263275,9.99999982843696,1.6032064128256511
2.400895885710492,6.641864582066962,9.999999819947165,1.6432865731462925
2.4527355489673806,6.955780532822291,9.999999811104347,1.6833667334669338
2.505694523853975,7.284533164289945,9.999999801892297,1.723446893787575
2.5597969783228747,7.628823705872347,9.99999979229406,1.7635270541082164
2.6150676021562735,7.989386529336063,9.999999782291896,1.8036072144288577
2.6715316182331983,8.366990715226864,9.999999771867238,1.8436873747494988
2.7292147940400313,8.762441693318632,9.999999761000662,1.8837675350701402
2.78814345342956,9.176582960595153,9.999999749671845,1.9238476953907815
2.848344488633931,9.610297880429293,9.999999737859516,1.9639278557114228
2.9098453725369837,10.06451156679717,9.999999725541421,2.004008016032064
2.9726741712115645,10.54019285754639,9.99999971269427,2.0440881763527052
3.0368595567275447,11.03835638092728,9.99999969929369,2.0841683366733466
3.102430820236388,11.560064719795067,9.999999685314178,2.124248496993988
3.169417885338236,12.106430678099247,9.99999967072904,2.164328657314629
3.237851321737613,12.678619654494536,9.999999655510342,2.2044088176352705
3.307762359193983,13.277852128136338,9.999999639628854,2.244488977955912
3.3791829017735227,13.905406261962936,9.999999623053977,2.284569138276553
3.4521455424086187,14.56262062901719,9.999999605753693,2.3246492985971945
3.526683577771727,15.25089706762299,9.99999958769449,2.3647294589178354
3.6028310234703915,15.971703671506603,9.99999956884129,2.4048096192384767
3.68062262957034,16.726577921240718,9.999999549157382,2.444889779559118
3.760093896453763,17.517129963690724,9.999999528604343,2.4849699398797593
3.841281091019996,18.345046046458158,9.999999507141956,2.5250501002004007
3.924221263236003,19.21209211464705,9.999999484728125,2.565130260521042
4.0089522630442165,20.120117577625027,9.99999946131879,2.6052104208416833
4.095512757635449,21.071059253813736,9.999999436867832,2.6452905811623246
4.183942249094753,22.066945501922753,9.999999411326975,2.685370741482966
4.274281092428294,23.109900547438958,9.999999384645688,2.7254509018036073
4.366570513979449,24.20214901359976,9.99999935677108,2.7655310621242486
4.460852630242547,25.34602066651472,9.99999932764778,2.8056112224448895
4.557170467082835,26.54395538455697,9.999999297217833,2.845691382765531
4.655567979371421,27.79850836262403,9.999999265420568,2.885771543086172
4.756090071044192,29.11235556236887,9.999999232192474,2.9258517034068134
4.858782615593829,30.488299420026415,9.99999919746707,2.9659318637274548
4.96369247700428,31.929274824010385,9.999999161174756,3.006012024048096
5.070867531137252,33.438355375030625,9.999999123242679,3.0460921843687374
5.180356687580475,35.0187599420838,9.999999083594567,3.0861723446893787
5.292209911967701,36.67385952830132,9.999999042150575,3.12625250501002
5.406478248780644,38.40718446129949,9.999998998827119,3.1663326653306614
5.523213844643244,40.22243192336863,9.99999895353669,3.2064128256513023
5.64246997211891,42.123473837563516,9.99999890618768,3.2464929859719436
5.764301054021568,44.11436512651552,9.999998856684181,3.286573146292585
5.88876268825165,46.19935236158322,9.999998804925792,3.3266533066132262
6.015911673168319,48.38288282078955,9.999998750807396,3.3667334669338675
6.1458060335095395,50.66961397486635,9.999998694218945,3.406813627254509
6.278505046871799,53.064423421640065,9.999998635045225,3.44689378757515
6.41406927076158,55.572419289948414,9.999998573165612,3.4869739478957915
6.55256057023092,58.19895113527987,9.999998508453821,3.527054108216433
6.694042146109674,60.94962135037613,9.999998440777635,3.567134268537074
6.838578563847362,63.83029711513651,9.999998369998627,3.6072144288577155
6.986235782977758,66.84712291131336,9.999998295971867,3.6472945891783564
7.1370811872196915,70.00653362869251,9.999998218545617,3.6873747494989977
7.29118361522775,73.31526829071372,9.99999813756101,3.727454909819639
7.44861339200697,76.78038442880866,9.999998052851707,3.7675350701402803
7.609442361005818,80.40927313611627,9.999997964243557,3.8076152304609217
7.773743916902112,84.20967483268528,9.999997871554218,3.847695390781563
7.941593039096862,88.18969577579114,9.999997774592778,3.8877755511022043
8.11306632593129,92.35782535058372,9.999997673159346,3.9278557114228456
8.288242029642667,96.72295417794693,9.999997567044629,3.967935871743487
8.467200092074897,101.29439307819398,9.999997456029494,4.008016032064128
8.650022181160185,106.08189293104857,9.999997339884496,4.04809619238477
8.836791728188361,111.0956654742719,9.999997218369398,4.0881763527054105
9.027593965880975,116.34640508530134,9.999997091232657,4.128256513026052
9.222515967287418,121.84531159235792,9.999996958210899,4.168336673346693
9.421646685520951,127.60411416368218,9.999996819028347,4.208416833667335
9.625076994352627,133.6350963258505,9.99999667339625,4.248496993987976
9.83289972968178,139.9511221645396,9.999996521012264,4.288577154308617
10.045209731901895,146.5656637636225,9.99999636155981,4.328657314629258
10.262103889181235,153.49282994112454,9.999996194707409,4.368737474949899
10.483681181678007,160.74739634333503,9.999996020107966,4.408817635270541
10.710042726710158,168.34483696126125,9.99999583739805,4.448897795591182
10.94129182490054,176.30135713665453,9.999995646197108,4.488977955911824
11.17753400731835,184.6339281280047,9.999995446106668,4.529058116232465
11.418877083638522,193.3603233102379,9.999995236709486,4.569138276553106
11.665431191340883,202.49915608532604,9.999995017568663,4.609218436873747
11.917308845971695,212.06991958467688,9.999994788226722,4.649298597194389
12.174624992490346,222.0930282479842,9.999994548204628,4.68937875751503
12.437497057724789,232.58986136723138,9.999994297000775,4.729458917835671
12.706045003959536,243.58280868872336,9.999994034089923,4.7695390781563125
12.980391383680708,255.09531817041733,9.999993758922079,4.809619238476953
13.260661395503194,267.1519459964216,9.99999347092133,4.849699398797595
13.546982941305282,279.7784089553372,9.99999316948462,4.889779559118236
13.839486684597038,293.00163929417334,9.999992853980466,4.929859719438878
14.138306110148841,306.84984216483105,9.99999252374762,4.969939879759519
14.44357758490754,321.3525557856981,9.999992178093661,5.01002004008016
14.75544042022777,336.54071444666977,9.999991816293525,5.050100200400801
15.074036935447063,352.44671449199564,9.999991437587964,5.090180360721443
15.39951252283357,369.10448342168297,9.999991041181929,5.130260521042084
15.732015713936205,386.54955225886073,9.999990626242884,5.170340681362725
16.071698247367348,404.81913133745525,9.999990191899036,5.210420841683367
16.41871513804909,423.95218967183564,9.999989737237478,5.2505010020040075
16.77322474795472,443.9895380777291,9.999989261302249,5.290581162324649
17.13538885837751,464.97391622169215,9.999988763092302,5.33066132264529
17.50537274376006,486.95008378482834,9.999988241559377,5.370741482965932
