Nx,Mu,v1,v2,v3,v4,v5,v6,vd,gR,gP1,gP2,gP3,gP4,gP5,gP6,gP,R,PSU,Tc,CB,Mc,Tn,Mq,Pq,Q
0.01,1.395195722579956e-06,160498.07321116494,116903.44141937568,38967.81380645856,19435.07505293898,38870.15010587796,97.66370058059692,0.0,0.13206765707759438,0.007687603499387743,0.6197920894081198,0.05436772714106313,0.091738541233599,1.0857139726185103,1.362599773013784e-06,3.8870152831077576,94658.87469421039,5510.053804617496,444233.0773936276,38967.81380645856,65753.16978750387,778180.4051196767,0.9766370058059692,2786000.0,70000000.0
0.4100000000000001,8.59379768371582e-06,988598.2587933543,720074.3079185488,240024.76930618295,119711.6017341614,239423.2034683228,601.5658378601075,0.0,0.8134792180902515,0.2916194452652061,23.515057094076052,4.956776952335602,0.10287772856969472,1.044836248205387,5.1697351040047586e-05,23.942320346832297,94658.8746942104,33933.7107991021,2736282.3700904856,576785.3904366493,11971.160173416141,121580.27063928,6.015658378601075,2786000.0000000005,70000000.00000001
0.8100000000000002,9.179115295410156e-06,1055931.0019016261,769118.0706024165,256372.69020080552,127865.0760650634,255730.1521301268,642.5380706787109,0.0,0.86888472455194,0.33263237096532355,26.827329094203364,5.219536038140405,0.11736882754576065,0.6265466793924309,5.8979310324502876e-05,25.573015213012695,94658.87469421039,36237.95543037248,2922648.668289183,568631.7112445832,12786.50760650634,68257.85048214001,6.425380706787109,2786000.0,70000000.0
1.2100000000000002,9.39607620239258e-06,1080889.371037484,787297.2249984746,262432.4083328249,130887.34149932869,261774.68299865737,657.7253341674808,0.0,0.8894219998595315,0.3485088172113202,28.11051793606796,5.314508740123358,0.1229827434656273,0.45574762123956436,6.180037360081775e-05,26.177468299865765,94658.87469421039,37090.88876084011,2991729.4549942035,565609.3698740004,13088.734149932869,48504.036304379326,6.577253341674808,2786000.0,70000000.00000001
1.6100000000000003,9.508132934570313e-06,1093779.9572944648,796686.458587647,265562.152862549,132448.29177856454,264896.5835571291,665.5693054199219,0.0,0.9000291640293862,0.3569504817950757,28.7850028706089,5.36304698213371,0.12593359651873479,0.3632519392751579,6.328321433102246e-05,26.48965835571289,94658.87469421039,37541.595626755596,3027408.5426330585,564048.3803749084,13244.829177856454,38204.33956643811,6.655693054199219,2786000.0,70000000.0
2.0100000000000002,9.577274322509768e-06,1101733.7232828136,802479.8154830928,267493.2718276976,133411.43131256098,266822.86262512195,670.4092025756837,0.0,0.9065740100065308,0.3621726465855454,29.205163458402687,5.392821586724781,0.12777178754390658,0.30538092903528713,6.420692841402345e-05,26.682286262512136,94658.87469421039,37815.83719851479,3049423.298835753,563085.2166414262,13341.143131256098,31885.995822166307,6.704092025756837,2786000.0,70000000.0
2.41,9.62495803833008e-06,1107219.0791368487,806475.2340316775,268825.07801055914,134075.66547393802,268151.33094787603,673.7470626831056,0.0,0.9110876968873202,0.36570776919951214,29.496703088727838,5.413278195613033,0.12904726541478345,0.26580523880455803,6.484787206773036e-05,26.815133094787573,94658.8746942104,37995.77803281126,3064605.8893203745,562420.9657907487,13407.566547393802,27616.249104258433,6.737470626831056,2786000.0000000005,70000000.0
2.8100000000000005,9.658336639404298e-06,1111058.8282346728,809272.027015686,269757.342338562,134540.62938690186,269081.2587738037,676.0835647583009,0.0,0.9142472777038725,0.36828779219442737,29.701642345128224,5.427560129835742,0.1299438690296029,0.23695102665753917,6.529842664804165e-05,26.908125877380364,94658.87469421039,38131.5961479204,3075233.702659607,561955.9901952745,13454.062938690186,24533.31619140516,6.760835647583009,2786000.0,70000000.0
3.2100000000000004,9.683370590209961e-06,1113938.6400580402,811369.6217536922,270456.54058456403,134889.3523216247,269778.7046432494,677.8359413146973,0.0,0.9166169633162868,0.3702459047520744,29.85581238570204,5.438251210194451,0.13061835872036903,0.21501165342007164,6.563736619114025e-05,26.97787046432495,94658.87469421039,38235.23031602227,3083204.5626640306,561607.2584986687,13488.93523216247,22204.2161267123,6.778359413146973,2786000.0,70000000.0
3.6100000000000003,9.703636169433594e-06,1116269.9162960055,813067.674636841,271022.55821228033,135171.65184021,270343.30368042,679.2545318603516,0.0,0.9185352802406224,0.3717681743773856,29.980909004052602,5.446893105937534,0.1311656529878747,0.1978021647828226,6.591238843611791e-05,27.034330368041996,94658.87469421039,38312.254075276796,3089657.163619996,561324.9518871307,13517.165184021,20384.3344215541,6.792545318603516,2786000.0,70000000.0
4.0,9.719133377075195e-06,1118052.656948567,814366.1856651308,271455.39522171026,135387.5279426575,270775.055885315,680.3393363952637,0.0,0.9200022284768787,0.3729734758772939,30.07674758978568,5.45349389392193,0.13158494416671832,0.18421892183340563,6.612308752096396e-05,27.077505588531494,94658.87469421039,38375.17825992977,3094591.5055274973,561109.0703606606,13538.75279426575,18954.25391197205,6.803393363952637,2786000.0,70000000.0
4.842105263157895,9.745359420776367e-06,1121069.6026682854,816563.6658668519,272187.888622284,135752.8567314148,271505.7134628296,682.1751594543457,0.0,0.922484756261313,0.37490498138087586,30.239284372513,5.464649215115358,0.13229603812447976,0.16220644674392734,6.648042116808028e-05,27.150571346282938,94658.8746942104,38470.103070965946,3102941.9302940373,560743.7323927879,13575.28567314148,16644.480694895203,6.821751594543457,2786000.0000000005,70000000.0
