Cx,Mu,v1,v2,v3,v4,v5,v6,vd,gR,gP1,gP2,gP3,gP4,gP5,gP6,gP,R,PSU,Tc,CB,Mc,Tn,Mq,Pq,Q
0.1,5.25057315826416e-06,604006.2464773655,439945.52493095386,146648.50831031796,73140.48409461974,146280.96818923947,367.5401210784912,0.0,0.4970133466609116,0.10885231744611075,17.440244540471813,3.2729850931798588,0.03840294625696571,0.7834201036421006,1.9297962943198854e-05,14.62809681892395,94658.87469421039,20731.511430286846,3321588.7132287016,623357.6782047749,7314.048409461973,149206.58755302426,3.675401210784912,2786000.0,70000000.0
0.5000000000000001,1.0297298431396484e-05,1184562.596678734,862810.6355667114,287603.5451889038,143441.36714935303,286882.73429870605,720.8108901977539,0.0,0.974730681906449,0.4185977718201564,13.771158836530613,5.694972680499007,0.14770585649444,3.0131994724865763,7.422404848966835e-05,28.688273429870605,94658.87469421039,40651.22270748713,1337356.4851284025,553055.0287961961,14344.136714935303,292620.3889846802,7.208108901977539,2786000.0,70000000.0
0.9000000000000002,1.1528730392456056e-05,1326221.911609173,965992.3195838928,321997.4398612976,160595.21436691284,321190.4287338257,807.011127471924,0.0,1.0912966456028323,0.5246721241703698,9.837387428738253,6.178255270522258,0.18514589287548236,3.77697621465984,9.303813712335798e-05,32.11904287338257,94658.87469421036,45509.96565187216,853293.2156324385,535900.7505774498,16059.521436691284,327614.2373085022,8.07011127471924,2785999.9999999995,70000000.0
1.3000000000000005,1.2083053588867187e-05,1389989.173412323,1012439.0602111816,337479.68673706055,168316.93649291992,336633.87298583984,845.8137512207031,0.0,1.1437682555920081,0.576469903004913,7.669372820996261,6.3820131610236785,0.20337825635579065,4.148916429658129,0.00010220012882200535,33.66338729858399,94658.87469421038,47708.95856458403,634721.4108247021,528178.834438324,16831.693649291992,343366.55044555664,8.458137512207031,2786000.0000000005,70000000.0
1.7000000000000006,1.2400150299072265e-05,1426466.7898416517,1039008.5935592653,346336.19785308844,172734.09366607666,345468.1873321533,868.0105209351168,0.0,1.173784273349257,0.6070552043472786,6.328250219415145,6.49472214276585,0.21419287232333772,4.36953459539609,0.00010763460920771462,34.546818733215325,94658.87469421039,48955.471482688095,510336.57389528595,523761.56628131855,17273.409366607666,352377.5510787964,8.680105209351169,2785999.9999999995,70000000.0000047
2.100000000000001,1.260519027709961e-05,1450053.8200140002,1056188.8933181765,352062.96443939215,175590.30055999762,351180.60111999523,882.3633193969144,0.0,1.1931931269366511,0.6272280463188923,5.420480944454198,6.566110266840327,0.22133491493718804,4.515232264718636,0.00011122357534531324,35.11806011199951,94658.87469421039,49759.50640415198,430019.76370811457,520905.2876234055,17559.030055999763,358204.21314239514,8.823633193969144,2786000.0,69999999.99999538
2.500000000000001,1.2745857238769533e-05,1466235.6197834017,1067975.3780364993,355991.79267883307,177549.7913360596,355099.5826721192,892.2100067138674,0.0,1.2065085032349796,0.6415112949616254,4.764291596040948,6.614408413753382,0.22630242931427355,4.6165695580111805,0.0001137198137257656,35.50995826721191,94658.87469421039,50330.96502997989,373791.3823127746,518945.74761390686,17754.97913360596,362201.5743255616,8.922100067138674,2786000.0,70000000.0
2.900000000000001,1.2853145599365235e-05,1478577.670454979,1076965.0697708128,358988.35659027094,179044.31819915766,358088.6363983153,899.7201919555666,0.0,1.2166642987167555,0.6521809927521764,4.272047592496325,6.650875398231904,0.2301282690552852,4.694616688727819,0.00011564234625893735,35.808863639831486,94658.87469421039,50740.96358049387,332373.70256719907,517451.1831998825,17904.431819915764,365250.4091262816,8.997201919555666,2786000.0,70000000.0
3.300000000000001,1.2934207916259767e-05,1487902.7754068384,1083757.2813034067,361252.42710113554,180173.51627349868,360347.03254699736,905.3945541381838,0.0,1.2243375664140974,0.6604339175750056,3.886682101979362,6.678215540382836,0.23304017204850447,4.754019509789491,0.00011710561409472579,36.03470325469982,94658.87469421039,51061.025294387386,300496.33708867175,516321.95675373066,18017.351627349868,367553.9731979373,9.053945541381838,2786000.0,70000000.0
3.7000000000000015,1.2998580932617188e-05,1495308.0058097846,1089151.0963439946,363050.3654479982,181070.23239135754,362140.4647827151,909.9006652830868,0.0,1.2304310437031634,0.6670133516402245,3.577617962131676,6.699796412253823,0.23536560702268633,4.801458383262801,0.00011827417438324427,36.214046478271484,94658.87469421043,51314.320778393245,275231.4256977391,515425.2181053165,18107.023239135753,369383.2740783694,9.099006652830868,2786000.0,69999999.99999104
