	Nx	Mu	v1	v2	v3	v4	v51	v52	v6	vd	gR	gP1	gP2	gP3	gP4	gP51	gP52	gP6	gP	R	PSU	Tc	CB	Mc	Tn1	Tn2	Mq	Pq	Q
0	0.1	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
1	0.10400000000000001	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
2	0.10800000000000001	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
3	0.11200000000000002	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
4	0.11600000000000002	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
5	0.12000000000000002	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
6	0.12400000000000003	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
7	0.12800000000000003	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
8	0.13200000000000003	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
9	0.13600000000000004	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
10	0.14000000000000004	8.467435836791992e-06	416060.16099453	286639.6379470825	95546.54598236084	47417.640686035156	94835.28137207031	0.0	711.2646102905273	0.0	0.32221827049493856	0.12088901064768713	7.4035600850292775	0.8090342475327361	0.1561817673831768	0.29443760869677743	0.0	6.0225874506159016e-05	10.431880950927736	38053.81897254689	14276.932589487167	874356.7979411132	95546.54598236084	18444.989769458763	34772.93650309245	0.0	7.112646102905273	1232000.0000000002	84000000.0
