	nG	nO	N	t
66	69309313.53594448	152696193.89298207	0.092817698445053	6.022801140057003
67	69759473.32337269	152046551.72589022	0.09219721061876163	6.11405570278514
68	70209014.09271209	151391821.2462108	0.09206876432715849	6.205310265513276
69	70660581.23350748	150738004.3516939	0.0920240828044333	6.296564828241412
70	71114623.43919227	150086081.7250805	0.09199154558757322	6.387819390969549
71	71571200.04522833	149436158.23084092	0.09195863382081347	6.479073953697685
72	72030301.23272331	148788187.54190892	0.09192318875860421	6.570328516425821
73	72491904.58152239	148142098.7646401	0.09188488063970349	6.661583079153958
74	72955985.5956731	147497819.95022473	0.0918436896752511	6.752837641882095
75	73422520.55728178	146855285.07249466	0.09179964838282408	6.844092204610231
76	73891481.93866464	146214420.1125219	0.09175281132984538	6.935346767338367
77	74367312.61052482	145580030.76414746	0.09126801711827918	7.026601330066503
78	74849634.83748664	144945364.21845326	0.09067394555370287	7.11785589279464
79	75331136.73139943	144305773.75430697	0.09052350373611413	7.209110455522777
80	75814423.06599984	143666480.00559288	0.09044790141758437	7.300365018250913
81	76299926.57074283	143028338.71312445	0.0903831971376653	7.391619580979049
82	76787699.49543357	142391453.2570403	0.09031835044500215	7.4828741437071855
83	77277727.3101384	141755798.79491633	0.09025148417350176	7.574128706435322
84	77769983.34733936	141121329.74809697	0.09018231762031151	7.665383269163458
85	78264439.13280088	140487999.64196128	0.09011083680472204	7.756637831891595
86	78761066.94491237	139855765.70004448	0.09003707311326549	7.847892394619731
87	79259835.33267732	139224581.2720762	0.08996107143540233	7.939146957347868
88	79765879.12466232	138599260.78140646	0.08941596556289605	8.030401520076005
89	80277242.9848206	137972039.05291185	0.08885199108288279	8.12165608280414
90	80787553.49927498	137340265.84643367	0.08868611700293608	8.212910645532277
91	81299362.92988044	136708445.97299913	0.08858628742047343	8.304165208260413
92	81813082.57116777	136077314.76454252	0.08849603758139579	8.39541977098855
93	82328756.00835608	135446970.52181402	0.08840580689260637	8.486674333716685
94	82846363.28101398	134817404.85033786	0.08831401442021734	8.577928896444822
95	83365874.04562624	134188593.4410952	0.08822042189749901	8.66918345917296
96	83887256.16007419	133560510.90061484	0.08812502329630859	8.760438021901095
97	84410474.8231584	132933130.8682339	0.08802785613262298	8.851692584629232
98	84935496.61777538	132306430.35931933	0.08792895885551993	8.942947147357367
99	85468134.36918911	131685112.00935662	0.08733593645822692	9.034201710085505
100	86004809.93991162	131060774.58072618	0.08680483552325181	9.125456272813642
101	86540169.21248423	130432413.9996505	0.086629073238779	9.216710835541777
102	87076696.83483069	129803882.22827807	0.08651089579589638	9.307965398269914
103	87614777.83816998	129175801.92377119	0.08640098794260154	9.39921996099805
104	88154446.10986452	128548264.2729153	0.08629122597787152	9.490474523726187
105	88695676.6602497	127921274.0821725	0.0861802983101117	9.581729086454324
106	89238435.07755567	127294823.21252641	0.08606802241702705	9.67298364918246
107	89782684.42930596	126668902.36205946	0.08595439076923878	9.764238211910596
108	90328386.69082087	126043502.85041888	0.08583944557014107	9.855492774638732
109	90875506.44404231	125418617.76638384	0.08572322724102938	9.946747337366869
110	91430503.6422596	124798737.06500222	0.08509361030388388	10.038001900095004
111	91988163.73230362	124175159.83633375	0.0845973388409416	10.129256462823141
112	92544219.95497768	123548198.71576948	0.08441634238135606	10.220511025551279
113	93101071.89034355	122921114.2223262	0.0842849628483044	10.311765588279414
114	93659074.29381351	122294426.08720195	0.08416061765511128	10.403020151007551
115	94218251.11320907	121668217.69525383	0.08403651528957685	10.494274713735686
116	94778572.71483281	121042503.68333976	0.08391160561347535	10.585529276463824
117	95340000.0520081	120417288.8048365	0.08378574695141422	10.67678383919196
118	95902493.92584155	119792576.9369973	0.08365894322371131	10.768038401920096
119	96466016.09597895	119168372.41534254	0.08353122015499159	10.859292964648233
120	97030524.38297974	118544680.88386063	0.08340261359360007	10.950547527376369
121	97603089.26882574	117925703.64887376	0.08274671076745106	11.041802090104506
122	98176875.46094885	117302727.25894602	0.08228645681430728	11.133056652832641
123	98748754.01578945	116677076.92498514	0.08210410561083506	11.224311215560778
124	99321020.88830343	116051482.22451228	0.08196401566195932	11.315565778288915
125	99893997.77179521	115426371.09399252	0.08182983158753732	11.40682034101705
126	100467699.13611193	114801818.77794653	0.08169598102790984	11.498074903745188
127	101042091.34938803	114177847.18892173	0.08156163854503022	11.589329466473323
128	101617134.1101438	113554470.57740438	0.08142669916195698	11.68058402920146
129	102192785.60076563	112931702.77249089	0.081291169109676	11.771838591929598
130	102769005.31483495	112309557.58592337	0.08115506669438444	11.863093154657733
131	103345747.9177977	111688050.42952944	0.08101845052786091	11.95434771738587
132	103930636.34777912	111071036.9798316	0.08034566954487973	12.045602280114005
133	104515276.97013251	110450034.05348752	0.07992186524568015	12.136856842842143
