	Irr	Mu	v1	v2	v3	v4	v5	v6	vd	gR	gP1	gP2	gP3	gP4	gP5	gP6	gP	R	PSU	Tc	CB	Mc	Tn	Mq	Pq	Q
0	0.1	1.6472768038511276e-08	1894.9654607030345	1380.2532328070702	460.0844109356901	229.4656585864971	458.9313171729942	1.1530937626957893	0.0	0.0015592936856242327	0.0015610310415854552	6.934660358223032e-05	0.011470693490955704	3.7799345666995907e-07	3.175145036027656e-06	1.8994646079541905e-10	0.045893131755292416	94658.87469421039	94764.34306219571	4209.7723600615645	696342.8043264286	22.946565858649713	192.75115321265758	0.011530937626957893	2786000.0	70000000.0
1	10.621052631578948	1.558363437652588e-06	179268.28600466263	130575.27244091021	43525.090813636736	21708.002686500527	43416.005373001055	109.08544063568118	0.0	0.14751292937279528	0.13389515200413746	0.6206253778219923	1.0527408704372934	0.003382895769110658	0.028416324460529527	1.6999476226686745e-06	4.341600537300111	94658.87469421039	85920.36284284746	398254.5809447762	675542.5884625926	2170.8002686500527	18234.722256660443	1.0908544063568117	2786000.0	70000000.0
2	21.142105263157898	2.796649932861328e-06	321716.1208391192	234331.29787445083	78110.43262481694	38957.33356475832	77914.66712951665	195.76549530029294	0.0	0.2647277355582923	0.22048357581995898	1.9987949558270668	1.839781164827106	0.010895002429833772	0.09151802041060368	5.474875592881289e-06	7.791466712951659	94658.87469421039	78838.4606987176	714710.458517075	657851.7901755321	3895.7333564758324	32724.16019439699	1.9576549530029295	2786000.0	70000000.0
3	31.663157894736848	3.8123130798339844e-06	438554.20053005236	319433.7129592898	106477.90431976326	53105.52120208744	106211.04240417488	266.8619155883789	0.0	0.3608692661191044	0.2783961670431584	3.714233032266637	2.4533908900699375	0.020245487309011892	0.1700620933956999	1.0173611713071296e-05	10.62110424041748	94658.87469421039	73025.52576696606	974272.824525834	643543.9164342651	5310.552120208744	44608.63780975345	2.668619155883789	2786000.0	70000000.0
4	42.184210526315795	4.6598911285400395e-06	536056.4008355142	390452.27766037016	130150.7592201234	64912.28342056279	129824.56684112558	326.1923789978028	0.0	0.4411000504251342	0.31766890637234574	5.549368569602824	2.9440293058288707	0.030248417364475724	0.25408670586159604	1.5200209730892315e-05	12.98245668411255	94658.87469421039	68170.88588760067	1190879.446864129	631780.7057331929	6491.228342056279	54526.31807327274	3.261923789978028	2786000.0	70000000.0
5	52.70526315789474	5.377531051635742e-06	618611.0064387321	450583.3268165588	150194.44227218625	74909.00754928587	149818.01509857175	376.42717361450195	0.0	0.5090310379810131	0.3444769289752803	7.390228785481412	3.3443540681850616	0.0402825514143501	0.33837343188054086	2.0242488147914628e-05	14.981801509857178	94658.87469421039	64058.56622073749	1374279.1467905045	621912.5535626193	7490.900754928587	62923.56634140013	3.7642717361450195	2786000.0	70000000.0
6	63.226315789473695	5.992650985717774e-06	689372.0969557768	502124.2260932926	167374.74203109753	83477.62823104864	166955.25646209728	419.48556900024414	0.0	0.5672575987431951	0.36275027087438033	9.17761847727477	3.676559720983785	0.05002522911041755	0.4202119245275074	2.513830608563694e-05	16.695525646209717	94658.87469421039	60532.52087246854	1531478.8895845425	613511.404175897	8347.762823104864	70121.20771408085	4.194855690002441	2786000.0	70000000.0
7	73.74736842105263	6.525516510009767e-06	750670.9486246109	546773.0283737186	182257.67612457287	90900.4449844361	181800.8899688722	456.7861557006837	0.0	0.6176980496360156	0.3750733261417174	10.882328092836255	3.955996933061614	0.05931723545131722	0.49826477779106465	2.9807656005687032e-05	18.18008899688721	94658.87469421039	57477.952215181205	1667657.7365398419	606235.0661427862	9090.044498443609	76356.37378692631	4.567861557006837	2786000.0	70000000.0
8	84.26842105263158	6.99162483215332e-06	804290.3020977975	585828.2446861268	195276.08156204227	97393.33391189577	194786.66782379153	489.4137382507324	0.0	0.6618193388957309	0.38321023273503363	12.492468473919164	4.192787603553801	0.06809376518646106	0.5719876275662729	3.421797245550806e-05	19.47866678237915	94658.87469421039	54809.8964024376	1786776.146292687	599687.1548759121	9739.333391189577	81810.40048599245	4.894137382507324	2786000.0	70000000.0
9	94.78947368421053	7.402896881103515e-06	851601.4963388443	620288.7296676636	206762.9098892212	103122.35355377196	206244.70710754392	518.2027816772461	0.0	0.7007498882425386	0.38837469325980223	14.005397181833244	4.394249069778755	0.07634041494952724	0.6412594855760289	3.8362017562576505e-05	20.62447071075439	94658.87469421039	52462.52912844965	1891880.625486374	593585.0708653562	10312.235355377195	86622.77698516844	5.182027816772461	2786000.0	70000000.0
10	105.31052631578947	7.767677307128906e-06	893564.4686222072	650853.681564331	216951.22718811035	108203.74488830565	216407.4897766113	543.7374114990234	0.0	0.7352795928805766	0.3913188464605624	15.419645186273101	4.569726606095415	0.08404917737152572	0.706013089920816	4.2235767523379764e-05	21.640748977661133	94658.87469421039	50377.84539548566	1985103.7287712097	588300.2634393009	10820.374488830565	90891.14570617674	5.437374114990234	2786000.0	70000000.0
11	115.83157894736843	8.09192657470703e-06	930864.8884296427	678022.5276947024	226007.50923156747	112720.53718566897	225441.07437133795	566.4348602294922	0.0	0.7659726636699439	0.39251999405979293	16.73385095581353	4.729107008104012	0.09121263103679669	0.7661861007090922	4.583549298331491e-05	22.54410743713379	94658.87469421039	48507.606987771534	2067968.7094688425	584422.8768567676	11272.053718566898	94685.25123596194	5.664348602294922	2786000.0	70000000.0
