Irr,Mu,v1,v2,v3,v4,v5,v6,vd,gR,gP1,gP2,gP3,gP4,gP5,gP6,gP,R,PSU,Tc,CB,Mc,Tn,Mq,Pq,Q
0.1,1.6463454812765123e-08,1893.8941022108081,1379.4728776231946,459.82429254106484,229.33592535208564,458.6718507041713,1.1524418368935587,0.0,0.0015584121061553284,0.0015593996446912407,8.630137966750124e-05,7.570296462061512e-06,0.0011459225885762977,7.702349753714584e-06,1.8973174106037138e-10,0.04586718510836363,94658.87469421036,94718.8583700028,5241.99693496814,459.82429254106484,69604.01699452498,467.84528771825467,0.011524418368935587,2785999.9999999995,70000000.0
10.621052631578948,1.488626003265381e-06,171245.94085239695,124731.96350637558,41577.32116879186,20736.558674281645,41473.11734856329,104.20382022857666,0.0,0.1409116623096409,0.12218787721802835,0.7055811283929692,0.06189308143797975,0.0974934154233776,0.06297272013997886,1.5512051643185032e-06,4.14731204509735,94658.87469421036,82080.97732405768,473981.4613242273,41577.32116879187,65492.2157812107,42302.57969553455,1.0420382022857666,2785999.9999999995,70000000.0
21.142105263157898,2.5793910026550292e-06,296723.4682291752,216127.1721124653,72042.3907041551,35930.91666698463,71861.83333396926,180.55737018585205,0.0,0.24416224970769604,0.1875661641856103,2.1184106360694384,0.185825494392056,0.1610718010316891,0.18906696166265427,4.657280561204402e-06,7.18618333339691,94658.87469421036,72717.228211056,821283.2540273683,72042.39070415511,62445.670650899396,73299.07000064864,1.8055737018585205,2785999.9999999995,70000000.0
31.663157894736848,3.41951847076416e-06,393368.5816824434,286521.4526653288,95507.15088844293,47633.892297744715,95267.78459548943,239.3662929534912,0.0,0.32368777043860253,0.22399588367687517,3.723108518705229,0.3265884665530902,0.20551020557468472,0.3322853480749185,8.185174600328082e-06,9.52677845954895,94658.87469421039,65505.0954080148,1088781.5201282494,95507.15088844292,60099.16522800923,97173.1402873992,2.393662929534912,2786000.0,70000000.0
42.184210526315795,4.085898399353028e-06,470026.42974257516,342357.4268817905,114119.14229393017,56916.56470298773,113833.12940597546,286.01288795471197,0.0,0.386766544597633,0.24427343562484335,5.315583117511131,0.4662792208343097,0.23795431712170687,0.47441281325788565,1.1686196010884945e-05,11.383312940597534,94658.87469421036,59784.51046739739,1300958.222150804,114119.14229393017,58237.942764163,116109.79199409497,2.8601288795471196,2785999.9999999995,70000000.0
52.70526315789474,4.627704620361329e-06,532353.7856340407,387755.3701400756,129251.79004669188,64463.92536163329,128927.85072326659,323.939323425293,0.0,0.43805331178060153,0.2551407993043645,6.818785808275152,2.9248687673614886,0.029832000524265823,0.6085728106950228,1.4990955037319514e-05,12.892785072326646,94658.87469421039,55133.33720172556,1473470.4065322874,632034.4549417496,6446.392536163329,131506.4077377319,3.23939323425293,2786000.0,70000000.0
63.226315789473695,5.076527595520019e-06,583984.6976101389,425362.24722862185,141787.41574287394,70716.02940559377,141432.05881118754,355.3569316864013,0.0,0.4805383895460306,0.26032629002111335,8.205580107364328,3.1768005756602413,0.03589918747231019,0.7323434244351279,1.8039792699653386e-05,14.143205881118773,94658.87469421039,51280.385090558455,1616376.5394687632,625782.1938097478,7071.602940559377,144260.6999874113,3.5535693168640132,2786000.0,70000000.0
73.74736842105263,5.453824996948242e-06,627387.5758051864,456975.9964942927,152325.33216476423,75971.78220748893,151943.56441497785,381.76774978637695,0.0,0.516252936990276,0.262009656820654,9.470615028206442,3.3842418950360567,0.04143368048659108,0.845247081926458,2.0820944968136246e-05,15.194356441497803,94658.87469421039,48041.44925208728,1736508.7866783123,620526.3089537623,7597.178220748892,154982.4357032774,3.8176774978637695,2786000.0,70000000.0
84.26842105263158,5.775690078735352e-06,664413.7278199188,483945.07169723447,161315.02389907817,80455.36279678335,160910.7255935667,404.2983055114746,0.0,0.5467203234356038,0.261513867188584,10.621443647167427,3.558071223644178,0.04646852406864349,0.947957891000327,2.335101711992138e-05,16.091072559356583,94658.87469421039,45278.37602495548,1838991.272449491,616042.6157116891,8045.536279678335,164128.940105438,4.042983055114746,2786000.0,70000000.0
94.78947368421053,6.052255630493164e-06,696228.791773319,507118.49927902204,169039.499759674,84307.92093276975,168615.8418655395,423.65789413452137,0.0,0.5728997073441817,0.25966706358788755,11.663001011837078,3.705130137048585,0.05102530891605281,1.0409163018874774,2.5640858751785338e-05,16.861584186553927,94658.87469421039,42904.17977053107,1927050.297260284,612189.9607777597,8430.792093276974,171988.15870285028,4.236578941345214,2786000.0,70000000.0
105.31052631578947,6.2942504882812505e-06,724066.972732544,527395.2484130859,175798.4161376953,87678.90930175781,175357.81860351562,440.5975341796876,0.0,0.5958066682641875,0.25697384177799615,12.614319639396856,3.8320585812471117,0.05518730176845566,1.1258209560764953,2.7732312446460135e-05,17.535781860351562,94658.87469421039,40826.75804790971,2004101.9439697268,608818.8877105714,8767.890930175781,178864.97497558594,4.405975341796876,2786000.0,70000000.0
115.83157894736843,6.50644302368164e-06,748476.8062829971,545174.8609542847,181724.95365142822,90634.75131988525,181269.5026397705,455.45101165771484,0.0,0.6158925748836998,0.25378495812842855,13.479166848821935,3.9420129037355878,0.05897098454283878,1.203008084673911,2.9633660574290843e-05,18.126950263977058,94658.87469421039,39005.1764389117,2071664.471626282,605862.9714250565,9063.475131988525,184894.89269256592,4.554510116577148,2786000.0,70000000.0
