	Cx	Mu	v1	v2	v3	v4	v5	v6	vd	gR	gP1	gP2	gP3	gP4	gP5	gP6	gP	R	PSU	Tc	CB	Mc	Tn	Mq	Pq	Q
0	0.1	5.814433097839355e-06	668870.5794513224	487191.34926795936	162397.1164226531	80995.05305290219	161990.10610580439	407.0103168487549	0.0	0.5503876940262452	0.13345297130030243	21.387198371543004	3.5791933994859098	0.04709403172320491	0.39558986647492117	2.3665342574474835e-05	16.199010610580448	94658.8746942104	22952.017686796255	3678294.686973093	615570.4845612445	8099.505305290219	68035.84456443784	4.070103168487549	2786000.0000000005	70000000.0
1	0.13	6.892681121826171e-06	792908.1887006756	577537.7511978148	192512.58373260495	96015.04802703855	192030.0960540771	482.4876785278319	0.0	0.652453438618093	0.18753825308042407	23.165098147874527	4.143638724767123	0.06618011089472017	0.5559129315156495	3.325633713302522e-05	19.20300960540771	94658.87469421039	27208.317020001214	3360825.452162668	601165.011340216	9601.504802703854	80652.64034271237	4.824876785278319	2786000.0	70000000.0
2	0.16	7.797479629516601e-06	896992.8160309795	653350.8181571962	217783.6060523987	108618.89123916626	217237.78247833252	545.8235740661621	0.0	0.73810064718107	0.24000593970359288	24.135144932472667	4.587911465925239	0.08469535918180782	0.7114410171271857	4.256048200090845e-05	21.723778247833252	94658.87469421039	30779.938019340727	3095249.5010197167	588383.898889347	10861.889123916626	91239.86864089966	5.458235740661621	2786000.0	70000000.0
3	0.19	8.567571640014649e-06	985581.313073635	717876.8277168272	239292.27590560904	119346.27294540402	238692.54589080805	599.7300148010254	0.0	0.8109966903058172	0.28975369392903844	24.58565917660209	4.944899940004651	0.1022507743428491	0.8589065044799324	5.1382298664748305e-05	23.86925458908081	94658.87469421039	33819.815707843096	2869618.161320686	577164.7028791226	11934.627294540402	100250.86927413938	5.997300148010254	2786000.0	70000000.0
4	0.22	9.229183197021486e-06	1061690.625548363	773313.2600784304	257771.08669281015	128562.52193450929	257125.04386901858	646.042823791504	0.0	0.873624095776769	0.33623275997556096	24.687703893944384	5.244083454664897	0.11865270672046795	0.9966827364519307	5.9624475738928615e-05	25.712504386901866	94658.8746942104	36431.47533186605	2674960.8678167523	568206.6703754789	12856.25219345093	107992.51842498781	6.46042823791504	2786000.0000000005	70000000.0
5	0.25	9.804964065551758e-06	1127926.2974858286	821557.9390525821	273852.6463508607	136583.14943313604	273166.2988662721	686.347484588623	0.0	0.9281268648622996	0.3794945163821689	24.568805514046957	5.493197878020935	0.13391928721517848	1.1249220126074992	6.729612422873288e-05	27.316629886627197	94658.87469421039	38704.32505871846	2505751.714110376	560246.6099106316	13658.314943313604	114729.84552383427	6.8634748458862305	2786000.0	70000000.0
6	0.28	1.031041145324707e-05	1186071.0695385938	863909.3756675725	287969.79188919085	143624.03154373175	287248.0630874635	721.7288017272949	0.0	0.9759719457986662	0.41962899199181003	24.304098202814835	5.70409775461582	0.14808228597900103	1.2438912022236086	7.441320903467386e-05	28.72480630874634	94658.8746942104	40699.538897611674	2357238.439321519	553236.6754208845	14362.403154373174	120644.18649673466	7.217288017272949	2786000.0000000005	70000000.0
7	0.31	1.07574462890625e-05	1237496.280670166	901366.4245605471	300455.4748535157	149851.22680664065	299702.4536132813	753.021240234375	0.0	1.0182877603060656	0.45680606863387	23.94385447795128	5.8855759089013695	0.16120165237225595	1.35409387992695	8.100585546344519e-05	29.970245361328125	94658.87469421039	42464.17377870824	2225793.5419390285	547116.4578237733	14985.122680664066	125875.03051757815	7.53021240234375	2786000.0	70000000.0
8	0.33999999999999997	1.1156797409057618e-05	1283436.1359477043	934828.0549049384	311609.3516349795	155414.18790817272	310828.37581634545	780.9758186340332	0.0	1.0560898879326763	0.49135183931535154	23.528147348274313	6.038448879430008	0.17339246089846952	1.456496671547144	8.713188989872833e-05	31.08283758163453	94658.8746942104	44040.580939154526	2108862.1120943762	541234.967171467	15541.418790817272	130547.91784286509	7.809758186340332	2786000.0000000005	70000000.0
9	0.37	1.1514425277709961e-05	1324576.3048529625	964793.6940193176	321597.8980064392	160395.94411849976	320791.8882369995	806.0097694396973	0.0	1.089942539538596	0.5233569835954941	23.07378649799983	6.173732378904393	0.1846867113400208	1.5513683752561747	9.280739263317628e-05	32.07918882369996	94658.8746942104	45452.28884403179	2003902.5779833663	536173.7325140949	16039.594411849976	134732.5930595398	8.060097694396973	2786000.0000000005	70000000.0
10	0.4	1.1836290359497071e-05	1361602.456867695	991762.76922226	330587.58974075335	164879.52470779425	329759.0494155885	828.5403251647949	0.0	1.120409925983924	0.553024934460122	22.597174800688094	6.295333772006521	0.19515619287773245	1.6393120201729525	9.80684386320263e-05	32.975904941558845	94658.8746942104	46722.825958421345	1909143.3307528507	531867.129041435	16487.952470779426	138498.80075454718	8.28540325164795	2786000.0000000005	70000000.0
11	0.42999999999999994	1.2128353118896485e-05	1395200.2614736562	1016234.707832337	338744.902610779	168947.95894622814	337895.9178924563	848.9847183227541	0.0	1.1480562581287583	0.5806536470462	22.113797648952737	6.401685939808295	0.20490605048166813	1.7212108240460122	0.00010296786456365228	33.78959178924561	94658.8746942104	47875.720747404455	1823314.1327736003	527828.1294295595	16894.795894622814	141916.28551483163	8.48984718322754	2786000.0000000005	70000000.0
