	Nx	Mu	v1	v2	v3	v4	v5	v6	vd	gR	gP1	gP2	gP3	gP4	gP5	gP6	gP	R	PSU	Tc	CB	Mc	Tn	Mq	Pq	Q
0	0.01	1.4182925224304198e-06	163155.0531834364	118838.73045444487	39612.91015148162	19756.814837455746	39513.62967491149	99.28047657012938	0.0	0.13425397416047669	0.007940450056890813	0.5140716524749234	0.959952005404424	0.0028020942751005853	1.1219585477502745	1.40808757542743e-06	3.9513629674911495	94658.87469421039	5598.598266092435	362458.1278860569	676836.4002648956	1975.6814837455745	791062.8660917281	0.9928047657012938	2786000.0	70000000.0
1	0.03	3.3921003341674803e-06	390214.50206637377	284224.0869998932	94741.36233329773	47251.957654952996	94503.91530990599	237.44702339172358	0.0	0.3210924004821487	0.04542039130803181	2.9405556924968934	2.20233333408766	0.01602833813514337	2.1435230866065065	8.054441273941391e-06	9.4503915309906	94658.87469421039	13390.049477760891	866883.4653496742	649253.5942714609	4725.195765495299	631916.180372238	2.374470233917236	2786000.0	70000000.0
2	0.049999999999999996	4.699826240539552e-06	540650.386363268	393798.44069480913	131266.1468982697	65468.579530715964	130937.15906143193	328.98783683776867	0.0	0.4448802631877954	0.08719209154865451	5.64489194743612	2.968024688081222	0.030769094800930947	2.4738352219948485	1.54618566838849e-05	13.093715906143192	94658.87469421039	18552.194716595444	1201085.244119168	631517.9617662812	6546.857953071596	526367.3794269564	3.289878368377687	2786000.0	70000000.0
3	0.06999999999999999	5.630850791931152e-06	647751.9594132901	471808.9878559112	157269.66261863706	78437.75153160094	156875.50306320188	394.15955543518066	0.0	0.5330099995352063	0.12515884046004902	8.102892339371515	3.4812116499547967	0.044167127532901404	2.5415027100360983	2.219453644869418e-05	15.68755030632019	94658.87469421039	22227.340962292597	1439017.4129605293	618239.0154864826	7843.775153160093	451353.2330989837	3.9415955543518066	2786000.0	70000000.0
4	0.08999999999999998	6.326436996459962e-06	727769.5879340173	530092.1559333804	176697.3853111268	88127.26736068728	176254.53472137457	442.85058975219744	0.0	0.5988534069087201	0.15799082497053035	10.22846361183199	3.8518673295510224	0.05575316046275705	2.5002195069743056	2.8016663549124146e-05	17.62545347213745	94658.87469421036	24973.112837278888	1616781.07559681	608852.5550331702	8812.72673606873	395201.8345197044	4.428505897521974	2785999.9999999995	70000000.00000001
5	0.10999999999999997	6.866455078124999e-06	789891.242980957	575340.2709960938	191780.09033203125	95649.71923828125	191299.4384765625	480.6518554687499	0.0	0.6499709108336589	0.18611383511565552	12.049171782564372	4.129439538510893	0.06567745003849268	2.4145418905060403	3.300374373793601e-05	19.129943847656246	94658.87469421039	27104.79177364356	1754787.8265380862	601393.221324111	9564.971923828125	351643.1496360086	4.806518554687499	2786000.0	70000000.0
6	0.12999999999999998	7.297992706298828e-06	839533.7134599688	611498.8088607788	203832.93628692627	101661.03839874269	203322.07679748538	510.85948944091797	0.0	0.6908197771048021	0.2102424176882831	13.611277233277976	4.344184737482915	0.07419215167487893	2.3125122968200724	3.7282488278833625e-05	20.332207679748535	94658.87469421039	28808.252645528803	1865071.3670253756	595257.4786397759	10166.10383987427	316869.63660900417	5.10859489440918	2786000.0	70000000.0
7	0.15	7.65085220336914e-06	880125.3467798232	641064.9061203003	213688.3020401001	106576.37119293211	213152.74238586423	535.5596542358397	0.0	0.7242210600226429	0.23106444151567543	14.959313190954047	4.514669033868161	0.08154000643685319	2.20701617422416	4.097487760645889e-05	21.315274238586422	94658.87469421039	30201.137778341028	1955247.963666916	590087.0796955241	10657.637119293211	288466.71136220294	5.3555965423583975	2786000.0	70000000.0
8	0.16999999999999998	7.944107055664063e-06	913860.2852821354	665636.730194092	221878.91006469735	110661.4112854004	221322.8225708008	556.0874938964844	0.0	0.7519802343394971	0.24911717387069282	16.12806280677433	4.655776670958943	0.08791060981820921	2.103649180826324	4.417618583829608e-05	22.132282257080078	94658.87469421039	31358.738260340408	2030192.0270919807	586066.708106536	11066.14112854004	264806.2477111817	5.560874938964844	2786000.0	70000000.0
9	0.18999999999999997	8.192062377929689e-06	942384.1357231139	686412.9066467285	228804.30221557617	114115.42892456055	228230.8578491211	573.4443664550782	0.0	0.7754514061196017	0.2649110007117574	17.150568912211387	4.772961820897977	0.09348407120342019	2.0054793380270564	4.697692020272372e-05	22.823085784912116	94658.8746942104	32337.522407721965	2093559.3652725222	582632.5045762417	11411.542892456055	244807.62541921518	5.734443664550782	2786000.0000000005	70000000.0
10	0.20999999999999996	8.404254913330078e-06	966793.9692735672	704192.5191879274	234730.8397293091	117071.27094268799	234142.54188537598	588.2978439331055	0.0	0.7955373127391139	0.27881229775016486	18.050550989912043	4.872635541684793	0.09838968040298823	1.9134450226943052	4.944205045376293e-05	23.414254188537598	94658.87469421039	33175.135764615814	2147787.1835231786	579781.9785256934	11707.127094268799	227675.747871399	5.882978439331055	2786000.0	70000000.0
11	0.22999999999999998	8.58783721923828e-06	987912.5893115998	719574.8805999756	239858.2935333252	119628.57246398923	239257.14492797846	601.1486053466796	0.0	0.8129150072301528	0.291126071419259	18.847755422018505	4.958707849445625	0.10273507070905903	1.8277909101803027	5.162566367289399e-05	23.92571449279785	94658.8746942104	33899.81248911948	2194703.3858299255	577410.5543520596	11962.857246398922	212834.83414028	6.011486053466796	2786000.0000000005	70000000.0
