	Nx	Mu	v1	v2	v3	v4	v5	v6	vd	gR	gP1	gP2	gP3	gP4	gP5	gP6	gP	R	PSU	Tc	CB	Mc	Tn	Mq	Pq	Q
0	0.0001	1.6225967556238174e-08	1866.5719362403966	1359.5718984507912	453.1906328169304	226.02740754399684	452.0548150879937	1.1358177289366722	0.0	0.0015359318296982723	1.078211332571015e-06	6.728412701963883e-05	7.353456504878559e-06	0.0011294032854266302	0.014670200227053329	1.8429741619526568e-10	0.04520554561167956	94658.87469421038	66.44974044438354	4146.694290274913	453.19063281693036	69604.68036880945	904118.671272289	0.011358177289366722	2786000.0000000005	70000000.0
1	0.020100000000000003	2.5260448455810544e-06	290586.6895177615	211657.270811446	70552.42360381533	35187.80023231233	70375.60046462466	176.82313919067386	0.0	0.23911256250981305	0.02521255228069683	1.63070006178717	0.17821858598766885	0.15811694156436384	1.772430292270463	4.46663179332063e-06	7.037556473157063	94658.87469421039	9981.039063816503	645554.6759749104	70552.42360381533	62594.66922804886	701662.2430005826	1.7682313919067385	2786000.0	70000000.00000001
2	0.04010000000000001	4.112720489501953e-06	473111.9424104689	344604.84981536854	114868.2832717895	57290.19641876218	114580.39283752436	287.8904342651367	0.0	0.389305493468077	0.06678715860271069	4.3226534511831	0.47242114220580317	0.23920827586678683	2.359734614496931	1.184012887733843e-05	11.45803928375241	94658.87469421039	16239.167911651239	1051044.7919368742	114868.2832717895	58163.02772760391	573764.8888419094	2.878904342651367	2786000.0	70000000.0
3	0.060100000000000015	5.206465721130371e-06	598932.2923123837	436249.7627735137	145416.58759117124	72526.06749534604	145052.13499069208	364.452600479126	0.0	0.4928381862961815	0.10700765546543901	6.9275242789812435	3.248689402914539	0.03776044843029068	2.5282787837175853	1.8975099713713917e-05	14.505213499069212	94658.87469421039	20552.839718342886	1330561.7764592168	623972.1102416514	7252.606749534604	485603.654981651	3.6445260047912598	2786000.0	70000000.0
4	0.08010000000000002	6.0057640075683605e-06	690880.569815635	503222.96619415225	167740.98873138407	83660.29262542714	167320.5852508543	420.40348052978527	0.0	0.5684988626354123	0.14239987185518	9.21782705335942	3.6805580327384755	0.050244397431242704	2.5291812761381745	2.5248440920222503e-05	16.732058525085453	94658.87469421039	23710.53402626712	1534830.0468921645	612837.6053571701	8366.029262542714	421125.6507833048	4.2040348052978525	2786000.0	70000000.0
5	0.10010000000000002	6.614923477172853e-06	760955.9908509242	554264.4381523124	184754.81271743748	92145.88403701768	184291.76807403535	463.0446434020998	0.0	0.6261612125374956	0.1728210835809416	11.182571375712044	3.997740915185163	0.060953797164131546	2.460097689260519	3.063004882619681e-05	18.429176807403405	94658.87469421039	26125.938444688323	1690506.536364553	604351.8007397653	9214.588403701768	371901.1561887241	4.630446434020998	2786000.0	70000000.00000001
6	0.12010000000000003	7.096529006958007e-06	816358.0849766735	594618.1654930117	198206.05516433725	98854.64906692508	197709.29813385016	496.75703048706043	0.0	0.6717494500334673	0.19879810930322728	12.870161431430208	4.241189942516783	0.07015248845760881	2.3645302196164755	3.525250676261748e-05	19.77092981338504	94658.87469421039	28013.428692859514	1813585.4047536857	597642.8671479225	9885.464906692509	333195.3152446922	4.967570304870605	2786000.0	70000000.0
7	0.1401	7.483959197998047e-06	860926.6012907028	627080.9412002565	209026.98040008548	104251.55162811281	208503.10325622562	523.8771438598632	0.0	0.7084231559398805	0.22120253021190123	14.313796942244043	4.4323436193170105	0.07802143587127831	2.2588013187104905	3.920675169410969e-05	20.85031032562254	94658.8746942104	29556.886182793824	1912596.8706607823	592245.828986168	10425.155162811281	301819.03173853725	5.238771438598632	2786000.0000000005	69999999.99999999
8	0.16010000000000002	7.804632186889648e-06	897815.6194090848	653950.1309394839	217983.37697982797	108718.52636337283	217437.05272674566	546.3242530822754	0.0	0.7387777002131882	0.24054794282745967	15.56671273368054	4.5873968887025995	0.08485081101667905	2.153885634005148	4.263859850084373e-05	21.743705272674557	94658.87469421036	30821.176074323674	1994547.899365426	587778.7420153618	10871.852636337284	275975.290369645	5.463242530822754	2785999.9999999995	70000000.0
9	0.18010000000000004	8.074045181274415e-06	928807.8799843793	676524.2457389835	225508.0819129945	112471.44937515263	224942.89875030526	565.183162689209	0.0	0.7642800310896481	0.25739904877585384	16.65997634528865	4.715450088327273	0.09080995638584004	2.053202525271493	4.563314391248241e-05	22.49428987503058	94658.8746942104	31879.812782423116	2063398.9495038998	584025.724709034	11247.144937515262	254296.6355988875	5.65183162689209	2786000.0000000005	70000000.0
10	0.2	8.301734924316406e-06	955000.4541873928	695602.3693084714	231867.45643615714	115643.1674957275	231286.334991455	581.1214447021484	0.0	0.7858328859454169	0.27214021837241686	17.6128547723124	4.822095330847561	0.09600389223578529	1.9584794016100195	4.824316192753031e-05	23.128633499145508	94658.87469421039	32781.12597588459	2121587.226390838	580853.9268970491	11564.31674957275	235912.06169128406	5.811214447021484	2786000.0	70000000.0
11	0.24210526315789474	8.687973022460939e-06	999431.8366050727	727965.2595520025	242655.0865173342	121023.46420288095	242046.9284057619	608.1581115722657	0.0	0.8223937496798104	0.2980237727946829	19.289854735643548	4.999698199758315	0.10514485920793969	1.7792338784230486	5.283661266730634e-05	24.204692840576254	94658.8746942104	34303.02695740476	2220294.041633608	575473.4950065614	12102.346420288095	204792.74899026635	6.081581115722657	2786000.0000000005	70000000.0
