Nx,Cx,Irr,Mu
0.1,0.1,112.0,0.013816058635711668
0.1,0.1,112.0,0.3532276153564453
0.1,0.1,223.0,0.39591979980468756
0.1,0.1,334.0,0.41167831420898443
0.1,0.1,445.0,0.4192485809326172
0.1,0.1,556.0,0.42311096191406256
0.1,0.1,667.0,0.4248619079589844
0.1,0.1,778.0,0.4252223968505859
0.1,0.1,889.0,0.42450141906738287
0.1,0.1,1000.0,0.42290496826171875
0.1,1.7555555555555558,112.0,0.014063894748687742
0.1,1.7555555555555558,112.0,0.6420822143554688
0.1,1.7555555555555558,223.0,0.798534393310547
0.1,1.7555555555555558,334.0,0.8654823303222656
0.1,1.7555555555555558,445.0,0.8994712829589843
0.1,1.7555555555555558,556.0,0.9173927307128905
0.1,1.7555555555555558,667.0,0.9256324768066405
0.1,1.7555555555555558,778.0,0.9273834228515624
0.1,1.7555555555555558,889.0,0.9240875244140625
0.1,1.7555555555555558,1000.0,0.9164657592773436
0.1,3.4111111111111114,112.0,0.014070332050323483
0.1,3.4111111111111114,112.0,0.6579437255859375
0.1,3.4111111111111114,223.0,0.8230476379394532
0.1,3.4111111111111114,334.0,0.8943214416503906
0.1,3.4111111111111114,445.0,0.9307823181152344
0.1,3.4111111111111114,556.0,0.949939727783203
0.1,3.4111111111111114,667.0,0.9587974548339844
0.1,3.4111111111111114,778.0,0.9606513977050782
0.1,3.4111111111111114,889.0,0.9571495056152345
0.1,3.4111111111111114,1000.0,0.9489097595214844
0.1,5.066666666666666,112.0,0.014073550701141356
0.1,5.066666666666666,112.0,0.6635055541992186
0.1,5.066666666666666,223.0,0.8319053649902345
0.1,5.066666666666666,334.0,0.9048271179199218
0.1,5.066666666666666,445.0,0.9421119689941406
0.1,5.066666666666666,556.0,0.9616813659667969
0.1,5.066666666666666,667.0,0.9708480834960938
0.1,5.066666666666666,778.0,0.9728050231933594
0.1,5.066666666666666,889.0,0.9692001342773436
0.1,5.066666666666666,1000.0,0.96075439453125
0.1,6.722222222222222,112.0,0.01407516002655029
0.1,6.722222222222222,112.0,0.6664924621582032
0.1,6.722222222222222,223.0,0.836437225341797
0.1,6.722222222222222,334.0,0.9102859497070312
0.1,6.722222222222222,445.0,0.9479827880859374
0.1,6.722222222222222,556.0,0.9678611755371094
0.1,6.722222222222222,667.0,0.9770278930664062
0.1,6.722222222222222,778.0,0.9789848327636717
0.1,6.722222222222222,889.0,0.9753799438476562
0.1,6.722222222222222,1000.0,0.9668312072753905
0.1,8.377777777777778,112.0,0.01407516002655029
0.1,8.377777777777778,112.0,0.6682434082031251
0.1,8.377777777777778,223.0,0.8393211364746094
0.1,8.377777777777778,334.0,0.9135818481445311
0.1,8.377777777777778,445.0,0.951587677001953
0.1,8.377777777777778,556.0,0.971569061279297
0.1,8.377777777777778,667.0,0.9808387756347655
0.1,8.377777777777778,778.0,0.9827957153320312
0.1,8.377777777777778,889.0,0.9791908264160155
0.1,8.377777777777778,1000.0,0.9705390930175781
0.1,10.033333333333333,112.0,0.01407516002655029
0.1,10.033333333333333,112.0,0.6693763732910157
0.1,10.033333333333333,223.0,0.841175079345703
0.1,10.033333333333333,334.0,0.9157447814941406
0.1,10.033333333333333,445.0,0.9539566040039061
0.1,10.033333333333333,556.0,0.9740409851074218
0.1,10.033333333333333,667.0,0.9834136962890625
0.1,10.033333333333333,778.0,0.9853706359863282
0.1,10.033333333333333,889.0,0.9816627502441406
0.1,10.033333333333333,1000.0,0.9730110168457031
0.1,11.68888888888889,112.0,0.014076769351959227
0.1,11.68888888888889,112.0,0.6703033447265626
0.1,11.68888888888889,223.0,0.8425140380859375
0.1,11.68888888888889,334.0,0.9173927307128905
0.1,11.68888888888889,445.0,0.955707550048828
0.1,11.68888888888889,556.0,0.9758949279785156
0.1,11.68888888888889,667.0,0.9852676391601564
0.1,11.68888888888889,778.0,0.9872245788574218
0.1,11.68888888888889,889.0,0.9835166931152345
0.1,11.68888888888889,1000.0,0.974864959716797
0.1,13.344444444444445,112.0,0.014076769351959227
0.1,13.344444444444445,112.0,0.6709213256835938
0.1,13.344444444444445,223.0,0.8435440063476564
0.1,13.344444444444445,334.0,0.9186286926269531
0.1,13.344444444444445,445.0,0.9570465087890625
0.1,13.344444444444445,556.0,0.97723388671875
0.1,13.344444444444445,667.0,0.9867095947265626
0.1,13.344444444444445,778.0,0.9886665344238282
0.1,13.344444444444445,889.0,0.9849586486816407
0.1,13.344444444444445,1000.0,0.9762039184570312
0.1,15.0,112.0,0.014076769351959227
0.1,15.0,112.0,0.6714363098144531
0.1,15.0,223.0,0.8443679809570312
0.1,15.0,334.0,0.9195556640625
0.1,15.0,445.0,0.9580764770507814
0.1,15.0,556.0,0.9783668518066406
0.1,15.0,667.0,0.9877395629882814
0.1,15.0,778.0,0.9897994995117186
0.1,15.0,889.0,0.9859886169433594
0.1,15.0,1000.0,0.9773368835449218
1.2000000000000002,0.1,112.0,0.013941586017608643
1.2000000000000002,0.1,112.0,0.45915985107421875
1.2000000000000002,0.1,223.0,0.533935546875
1.2000000000000002,0.1,334.0,0.5630836486816406
1.2000000000000002,0.1,445.0,0.5772972106933594
1.2000000000000002,0.1,556.0,0.5845069885253906
1.2000000000000002,0.1,667.0,0.5879058837890624
1.2000000000000002,0.1,778.0,0.5886268615722655
1.2000000000000002,0.1,889.0,0.5872879028320312
1.2000000000000002,0.1,1000.0,0.584197998046875
1.2000000000000002,1.7555555555555558,112.0,0.014194250106811522
1.2000000000000002,1.7555555555555558,112.0,1.1057739257812502
